#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil Fällen mit Handseilzug;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Tanne;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;97.69;97.69;71.83;0;0;26.86;5.03;0;0;31.89;5372.71;1005.67;0;0;6378.38;2.53
Foehre_Laerche;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;38.07;38.07;27.99;0;0;10.47;1.96;0;0;12.43;2093.74;391.91;0;0;2485.65;6.5
Laubholz;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;21.31;21.31;16.02;0;0;5.86;1.12;0;0;6.98;1172.12;224.22;0;0;1396.35;11.61
Fichte;0.5;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;69.4;69.4;51.03;0;0;19.08;3.57;0;0;22.66;3816.94;714.46;0;0;4531.4;3.57
Fichte;0.3;100;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;43.59;43.59;32.06;0;0;23.98;4.49;0;0;28.46;2397.61;448.79;0;0;2846.4;2.84
Fichte;0.3;200;Klasse_33bis50;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Fichte;0.3;200;Klasse_51bis66;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Fichte;0.3;200;Klasse_67bis90;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;4.49;0;0;28.46;4795.22;897.57;0;0;5692.79;2.84
Fichte;0.3;200;Klasse_91bis100;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;108.98;108.98;80.14;0;0;29.97;5.61;0;0;35.58;5994.02;1121.97;0;0;7115.99;2.27
Fichte;0.3;200;Klasse_0bis33;Hangneigung_31bis50;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;91.55;91.55;67.32;0;0;25.17;4.71;0;0;29.89;5034.98;942.45;0;0;5977.43;2.7
Fichte;0.3;200;Klasse_0bis33;Hangneigung_51bis70;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;103.75;103.75;76.29;0;0;28.53;5.34;0;0;33.87;5706.31;1068.11;0;0;6774.42;2.39
Fichte;0.3;200;Klasse_0bis33;Hangneigung_71bis100;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;132.52;132.52;97.45;0;0;36.44;6.82;0;0;43.27;7288.73;1364.31;0;0;8653.05;1.87
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Gering;55;14;540;60;0;0;0;0;0;SFr.;1;91.55;91.55;67.32;0;0;25.17;4.71;0;0;29.89;5034.98;942.45;0;0;5977.43;2.7
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Maessig;55;14;540;60;0;0;0;0;0;SFr.;1;95.9;95.9;70.52;0;0;26.37;4.94;0;0;31.31;5274.74;987.33;0;0;6262.07;2.58
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Stark;55;14;540;60;0;0;0;0;0;SFr.;1;104.62;104.62;76.93;0;0;28.77;5.39;0;0;34.16;5754.26;1077.09;0;0;6831.35;2.37
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;80;14;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;34.87;4.49;0;0;39.36;6974.87;897.57;0;0;7872.44;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;18;540;60;0;0;0;0;0;SFr.;1;87.19;87.19;64.11;0;0;23.98;5.77;0;0;29.75;4795.22;1154.02;0;0;5949.24;2.84
Fichte;0.3;200;Klasse_0bis33;Hangneigung_0bis30;Keine;55;14;300;60;0;0;0;0;0;SFr.;1;96.87;96.87;64.11;0;0;26.64;4.49;0;0;31.13;5328.02;897.57;0;0;6225.6;2.84
