#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil SH und ICH lang;Hangneigung;Hindernisse;Personal;Biber;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Biber;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;133.19;133.19;96.87;0;0;36.63;6.78;0.5;2.5;46.41;7325.57;1356.14;100;500;9281.7;1.86
Tanne;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;133.19;133.19;96.87;0;0;36.63;6.78;0.5;2.5;46.41;7325.57;1356.14;100;500;9281.7;1.86
Foehre_Laerche;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;182.34;182.34;132.61;0;0;50.14;9.28;0.5;2.5;62.42;10028.43;1856.5;100;500;12484.94;1.36
Fichte;0.5;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;96.8;96.8;70.4;0;0;26.62;4.93;0.5;2.5;34.55;5323.89;985.58;100;500;6909.47;2.56
Fichte;0.3;100;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;66.6;66.6;48.43;0;0;36.63;6.78;1;5;49.41;3662.78;678.07;100;500;4940.85;1.86
Fichte;0.3;200;Anteil_11bis20;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;123.33;123.33;89.69;0;0;33.91;6.28;0.5;2.5;43.19;6782.93;1255.68;100;500;8638.61;2.01
Fichte;0.3;200;Anteil_21bis35;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;114.69;114.69;83.41;0;0;31.54;5.84;0.5;2.5;40.38;6308.13;1167.79;100;500;8075.91;2.16
Fichte;0.3;200;Anteil_36bis60;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;107.29;107.29;78.03;0;0;29.51;5.46;0.5;2.5;37.97;5901.15;1092.44;100;500;7593.59;2.31
Fichte;0.3;200;Anteil_61bis100;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;107.29;107.29;78.03;0;0;29.51;5.46;0.5;2.5;37.97;5901.15;1092.44;100;500;7593.59;2.31
Fichte;0.3;200;Anteil_0bis10;Hangneigung_31bis50;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;143.85;143.85;104.62;0;0;39.56;7.32;0.5;2.5;49.88;7911.61;1464.63;100;500;9976.24;1.72
Fichte;0.3;200;Anteil_0bis10;Hangneigung_51bis70;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;158.5;158.5;115.27;0;0;43.59;8.07;0.5;2.5;54.66;8717.42;1613.8;100;500;10931.23;1.56
Fichte;0.3;200;Anteil_0bis10;Hangneigung_71bis100;Keine;55;14;540;60;100;0;500;0;0;SFr.;1;186.47;186.47;135.61;0;0;51.28;9.49;0.5;2.5;63.77;10255.79;1898.59;100;500;12754.38;1.33
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Gering;55;14;540;60;100;0;500;0;0;SFr.;1;139.85;139.85;101.71;0;0;38.46;7.12;0.5;2.5;48.58;7691.84;1423.94;100;500;9715.79;1.77
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Maessig;55;14;540;60;100;0;500;0;0;SFr.;1;146.51;146.51;106.55;0;0;40.29;7.46;0.5;2.5;50.75;8058.12;1491.75;100;500;10149.87;1.69
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Stark;55;14;540;60;100;0;500;0;0;SFr.;1;159.83;159.83;116.24;0;0;43.95;8.14;0.5;2.5;55.09;8790.68;1627.37;100;500;11018.04;1.55
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;80;14;540;60;100;0;500;0;0;SFr.;1;133.19;133.19;96.87;0;0;53.28;6.78;0.5;2.5;63.06;10655.37;1356.14;100;500;12611.51;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;25;540;60;100;0;500;0;0;SFr.;1;133.19;133.19;96.87;0;0;36.63;12.11;0.5;2.5;51.74;7325.57;2421.67;100;500;10347.25;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;300;60;100;0;500;0;0;SFr.;1;147.99;147.99;96.87;0;0;40.7;6.78;0.5;2.5;50.48;8139.52;1356.14;100;500;10095.65;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;30;100;0;500;0;0;SFr.;1;125.36;125.36;96.87;0;0;34.47;6.78;0.5;2.5;44.25;6894.65;1356.14;100;500;8850.79;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;200;0;500;0;0;SFr.;1;133.19;133.19;96.87;0;0;36.63;6.78;1;2.5;46.91;7325.57;1356.14;200;500;9381.7;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;4;500;0;0;SFr.;1;133.19;133.19;96.87;4;0;36.63;6.78;0.5;2.5;46.41;7325.57;1356.14;100;500;9281.7;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;150;0;0;SFr.;1;133.19;133.19;96.87;0;0;36.63;6.78;0.5;0.75;44.66;7325.57;1356.14;100;150;8931.7;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;3;0;SFr.;1;133.19;133.19;96.87;0;3;36.63;6.78;0.5;2.5;46.41;7325.57;1356.14;100;500;9281.7;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;10;SFr.;1;133.19;133.19;96.87;0;0;36.63;6.78;0.5;2.5;51.05;7325.57;1356.14;100;500;10209.87;1.86
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;14;540;60;100;0;500;0;0;SFr.;1.44;191.8;191.8;139.49;0;0;52.74;9.76;0.5;2.5;65.51;10548.81;1952.84;100;500;13101.65;1.29
