#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil SH und ICH lang;Hangneigung;Hindernisse;Personal;Schäleisen;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Schäleisen;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;0;0;54.68;10863.22;72.62;0;0;10935.84;1.25
Tanne;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;223.36;223.36;164.25;0;0;61.42;0.41;0;0;61.83;12284.73;82.12;0;0;12366.85;1.11
Foehre_Laerche;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;276.54;276.54;203.35;0;0;76.05;0.51;0;0;76.56;15209.71;101.68;0;0;15311.38;0.89
Fichte;0.5;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;163.75;163.75;120.42;0;0;45.03;0.3;0;0;45.33;9006.38;60.21;0;0;9066.59;1.51
Fichte;0.3;100;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;98.76;98.76;72.62;0;0;54.32;0.36;0;0;54.68;5431.61;36.31;0;0;5467.92;1.25
Fichte;0.3;200;Anteil_11bis20;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;182.88;182.88;134.48;0;0;50.29;0.34;0;0;50.63;10058.54;67.24;0;0;10125.78;1.35
Fichte;0.3;200;Anteil_21bis35;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;170.08;170.08;125.07;0;0;46.77;0.31;0;0;47.08;9354.44;62.53;0;0;9416.97;1.46
Fichte;0.3;200;Anteil_36bis60;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;159.11;159.11;117;0;0;43.75;0.29;0;0;44.05;8750.93;58.5;0;0;8809.43;1.56
Fichte;0.3;200;Anteil_61bis100;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;159.11;159.11;117;0;0;43.75;0.29;0;0;44.05;8750.93;58.5;0;0;8809.43;1.56
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;0;0;54.68;10863.22;72.62;0;0;10935.84;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_31bis50;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;213.31;213.31;156.86;0;0;58.66;0.39;0;0;59.05;11732.28;78.43;0;0;11810.71;1.16
Fichte;0.3;200;Anteil_0bis10;Hangneigung_51bis70;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;235.04;235.04;172.84;0;0;64.64;0.43;0;0;65.07;12927.23;86.42;0;0;13013.65;1.05
Fichte;0.3;200;Anteil_0bis10;Hangneigung_71bis100;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1;276.52;276.52;203.34;0;0;76.04;0.51;0;0;76.55;15208.51;101.67;0;0;15310.17;0.9
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Gering;55;0.5;540;60;0;0;0;0;0;SFr.;1;207.39;207.39;152.5;0;0;57.03;0.38;0;0;57.41;11406.38;76.25;0;0;11482.63;1.19
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Maessig;55;0.5;540;60;0;0;0;0;0;SFr.;1;217.26;217.26;159.77;0;0;59.75;0.4;0;0;60.15;11949.54;79.88;0;0;12029.42;1.14
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Stark;55;0.5;540;60;0;0;0;0;0;SFr.;1;237.02;237.02;174.29;0;0;65.18;0.44;0;0;65.62;13035.86;87.15;0;0;13123.01;1.04
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;80;0.5;540;60;0;0;0;0;0;SFr.;1;197.51;197.51;145.24;0;0;79.01;0.36;0;0;79.37;15801.04;72.62;0;0;15873.67;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;300;60;0;0;0;0;0;SFr.;1;219.46;219.46;145.24;0;0;60.35;0.36;0;0;60.71;12070.24;72.62;0;0;12142.86;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;30;0;0;0;0;0;SFr.;1;185.89;185.89;145.24;0;0;51.12;0.36;0;0;51.48;10224.21;72.62;0;0;10296.83;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;200;0;0;0;0;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;1;0;55.68;10863.22;72.62;200;0;11135.84;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;4;0;0;0;SFr.;1;197.51;197.51;145.24;4;0;54.32;0.36;0;0;54.68;10863.22;72.62;0;0;10935.84;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;150;0;0;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;0;0.75;55.43;10863.22;72.62;0;150;11085.84;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;3;0;SFr.;1;197.51;197.51;145.24;0;3;54.32;0.36;0;0;54.68;10863.22;72.62;0;0;10935.84;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;10;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;0;0;60.15;10863.22;72.62;0;0;12029.42;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;0;0;0;SFr.;1.2;237.02;237.02;174.29;0;0;65.18;0.44;0;0;65.62;13035.86;87.15;0;0;13123.01;1.04
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;1000;0;0;0;10;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;5;0;65.65;10863.22;72.62;1000;0;13129.42;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;1000;0;0;0;0;SFr.;1.2;237.02;237.02;174.29;0;0;65.18;0.44;5;0;70.62;13035.86;87.15;1000;0;14123.01;1.04
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;1000;0;10;SFr.;1;197.51;197.51;145.24;0;0;54.32;0.36;0;5;65.65;10863.22;72.62;0;1000;13129.42;1.25
Fichte;0.3;200;Anteil_0bis10;Hangneigung_0bis30;Keine;55;0.5;540;60;0;0;1000;0;0;SFr.;1.2;237.02;237.02;174.29;0;0;65.18;0.44;0;5;70.62;13035.86;87.15;0;1000;14123.01;1.04
