#Arbeitsobjekt;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro Srm;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Holzmenge [SRm];Sortiment;Motorleistung;Maschinist Kostensatz;Hacker Kostensatz pro PMH15;Hacker Kostensatz pro Srm;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Total;Personal;Hacker;Umsetzen;Weitere Aufwände;Personal;Hacker;Umsetzen;Weitere Aufwände;Total;Personal;Hacker;Umsetzen;Weitere Aufwände;Total;SrmProPMH15
50;Waldrestholz;82;70;130;-1;540;60;0;0;0;0;0;Fr.;1;3.87;3.87;2.3;0;0;5.42;5.97;0;0;11.39;271.13;298.38;0;0;569.51;21.78
200;Waldrestholz;82;70;130;-1;540;60;0;0;0;0;0;Fr.;1;15.49;15.49;9.18;0;0;5.42;5.97;0;0;11.39;1084.5;1193.53;0;0;2278.03;21.78
50;Energierundholz;82;70;130;-1;540;60;0;0;0;0;0;Fr.;1;3.2;3.2;1.9;0;0;4.48;4.93;0;0;9.41;223.94;246.46;0;0;470.4;26.37
50;Waldrestholz;455;70;130;-1;540;60;0;0;0;0;0;Fr.;1;0.9;0.9;0.54;0;0;1.27;1.39;0;0;2.66;63.34;69.7;0;0;133.04;93.25
50;Waldrestholz;82;90;130;-1;540;60;0;0;0;0;0;Fr.;1;3.87;3.87;2.3;0;0;6.97;5.97;0;0;12.94;348.59;298.38;0;0;646.97;21.78
50;Waldrestholz;82;70;200;-1;540;60;0;0;0;0;0;Fr.;1;3.87;3.87;2.3;0;0;5.42;9.18;0;0;14.6;271.13;459.05;0;0;730.18;21.78
50;Waldrestholz;82;70;-1;5;540;60;0;0;0;0;0;Fr.;1;3.87;3.87;2.3;0;0;5.42;5;0;0;10.42;271.13;250;0;0;521.13;21.78
50;Waldrestholz;82;70;130;-1;600;60;0;0;0;0;0;Fr.;1;3.83;3.83;2.3;0;0;5.36;5.97;0;0;11.32;267.78;298.38;0;0;566.16;21.78
50;Waldrestholz;82;70;130;-1;540;0;0;0;0;0;0;Fr.;1;3.44;3.44;2.3;0;0;4.82;5.97;0;0;10.79;241;298.38;0;0;539.38;21.78
50;Waldrestholz;82;70;130;-1;540;60;300;0;0;0;0;Fr.;1;3.87;3.87;2.3;0;0;5.42;5.97;6;0;17.39;271.13;298.38;300;0;869.51;21.78
50;Waldrestholz;82;70;130;-1;540;60;0;3.5;0;0;0;Fr.;1;3.87;3.87;2.3;3.5;0;5.42;5.97;0;0;11.39;271.13;298.38;0;0;569.51;21.78
50;Waldrestholz;82;70;130;-1;540;60;0;0;800;0;0;Fr.;1;3.87;3.87;2.3;0;0;5.42;5.97;0;16;27.39;271.13;298.38;0;800;1369.51;21.78
50;Waldrestholz;82;70;130;-1;540;60;0;0;0;0.5;0;Fr.;1;3.87;3.87;2.3;0;0.5;5.42;5.97;0;0;11.39;271.13;298.38;0;0;569.51;21.78
50;Waldrestholz;82;70;130;-1;540;60;0;0;0;0;7;Fr.;1;3.87;3.87;2.3;0;0;5.42;5.97;0;0;12.19;271.13;298.38;0;0;609.37;21.78
50;Waldrestholz;82;70;130;-1;540;60;0;0;0;0;0;Fr.;1.23;4.76;4.76;2.82;0;0;6.67;7.34;0;0;14.01;333.49;367.01;0;0;700.5;17.71
