#Arbeitsobjekt;;;;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;Ergebnis: Kosten total;;;;Produktivität;Rotationszeit
#Holztyp;Holzmenge;Rindenabzug manuell;Rindenabzug manuell;Horizontaldistanz (m);Vertikaldistanz (m);Helikopterkosten;Anflugpauschale;Heliklasse;Lastvolumen;PersonalAnzahl;PersonalAnsatz;Tägliche Arbeitszeit;Wegzeiten und Pausen;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Helifirma;Weitere Aufwände;Personal;Helifirma;Weitere Aufwände;Total;Personal;Helifirma;Weitere Aufwände;Total;Produktivität;Rotationszeit
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;2.44;66.57;0;69.01;610.35;16641.37;0;17251.71;55.76;2.24
Laubholz_frisch;250;true;1;300;100;60;500;Mittel;2.4;2;55;540;60;0;0;0;SFr.;1;6.61;13.21;5.34;0;2.91;78.86;0;81.77;726.59;19715.63;0;20442.22;46.84;2.24
Laubholz_angetrocknet;250;true;1;300;100;60;500;Mittel;2.6667;2;55;540;60;0;0;0;SFr.;1;5.94;11.89;4.8;0;2.62;71.18;0;73.79;653.92;17793.85;0;18447.77;52.04;2.24
Nadelholz_angetrocknet;250;true;1;300;100;60;500;Mittel;3.2;2;55;540;60;0;0;0;SFr.;1;4.95;9.91;4;0;2.18;59.65;0;61.83;544.94;14911.72;0;15456.66;62.45;2.24
Nadelholz_frisch;400;true;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;8.88;17.76;7.17;0;2.44;65.82;0;68.26;976.55;26326.19;0;27302.74;55.76;2.24
Nadelholz_frisch;250;false;1;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;2.74;74.79;0;77.54;610.35;16641.37;0;17251.71;49.62;2.24
Nadelholz_frisch;250;true;0.9;300;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;2.71;73.96;0;76.67;610.35;16641.37;0;17251.71;50.18;2.24
Nadelholz_frisch;250;true;1;100;100;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.39;10.78;4.36;0;2.37;64.72;0;67.09;592.88;16179.36;0;16772.24;57.4;2.17
Nadelholz_frisch;250;true;1;300;500;60;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;8.23;16.46;6.65;0;3.62;97.75;0;101.37;905.15;24437.73;0;25342.88;37.6;3.32
Nadelholz_frisch;250;true;1;300;100;100;500;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;2.44;109.61;0;112.05;610.35;27402.28;0;28012.62;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;800;Mittel;2.8571;2;55;540;60;0;0;0;SFr.;1;5.55;11.1;4.48;0;2.44;67.77;0;70.21;610.35;16941.37;0;17551.71;55.76;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Leicht;1;2;55;540;60;0;0;0;SFr.;1;14.22;28.44;11.49;0;6.26;167.5;0;173.75;1564.44;41873.75;0;43438.19;21.75;2.01
Nadelholz_frisch;250;true;1;300;100;60;500;Mittel;2;2;55;540;60;0;0;0;SFr.;1;7.93;15.85;6.41;0;3.49;94.24;0;97.72;871.91;23558.75;0;24430.66;39.03;2.24
Nadelholz_frisch;250;true;1;300;100;60;500;Schwer;3;2;55;540;60;0;0;0;SFr.;1;6.04;12.08;4.88;0;2.66;72.29;0;74.95;664.46;18072.5;0;18736.96;51.22;2.56
