#Arbeitsobjekt;;;;;;;;Arbeitssystem;;;;;;;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;;Ergebnis: Kosten pro m3;;;;;;;Ergebnis: Kosten total;;;;;;;Rotationszeit
#Holzmenge;Rindenabzug manuell;Rindenabzug manuell;Arbeitsverfahren;Holztyp;Baumartengruppe;Horizontaldistanz (m);Vertikaldistanz (m);Helikopterkosten;Anflugpauschale;Heliklasse;Lastvolumen;Anz. Personen Fliegen;Anz. Personen Lagerplatz;PersonalAnsatz;Anz. Motorsägen;MotorsägenAnsatz;Anz. Kranfz.;KranfahrzeugAnsatz;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std.;Weitere Aufwände CHF;Weitere Aufwände Std.;Kalk. Inkl. Lagerplatzarbeit;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit Fliegen;Dauer der Arbeit Absenkplatz;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weitere Aufwände;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weitere Aufwände;Total;Helifirma;Forstbetrieb Personal;Motorsäge;Kranfahrzeug;Umsetzen;Weiter Aufwände;Total;Rotationszeit
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.06;9.25;0.35;4;0;0;78.66;65064.5;9247.6;350;4000;0;0;78662.1;2.24
600;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;13.32;37.12;10.76;100.88;15;30;0;0;65.4;9.25;0.35;4;0;0;79;39238.7;5548.56;210;2400;0;0;47397.26;2.24
1000;false;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;73.11;10.39;0.39;4.49;0;0;88.38;65064.5;9247.6;350;4000;0;0;78662.1;2.24
1000;true;0.9;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;72.29;10.28;0.39;4.44;0;0;87.4;65064.5;9247.6;350;4000;0;0;78662.1;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Mittel;2.857142857;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;72.79;17.93;262.77;117.65;58.82;0;0;65.06;14.45;1.65;4.71;0;0;85.87;65064.5;14452.37;1647.06;4705.88;0;0;85869.82;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_frisch;Tanne;300;100;60;500;Mittel;2.857142857;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;72.79;17.93;262.77;117.65;58.82;0;0;65.06;14.45;1.65;4.71;0;0;85.87;65064.5;14452.37;1647.06;4705.88;0;0;85869.82;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_frisch;Foehre_Laerche;300;100;60;500;Mittel;2.857142857;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;230.01;100;50;0;0;65.06;12.65;1.4;4;0;0;83.12;65064.5;12650.72;1400;4000;0;0;83115.22;2.24
1000;true;1;Vollbaumverfahren;Laubholz_frisch;Laubholz;300;100;60;500;Mittel;2.4;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;26.42;56.25;21.35;221.59;90.91;45.45;0;0;77.36;12.19;1.27;3.64;0;0;94.46;77362.5;12187.61;1272.73;3636.36;0;0;94459.2;2.24
1000;true;1;Vollbaumverfahren;Laubholz_angetrocknet;Laubholz;300;100;60;500;Mittel;2.6667;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;23.78;56.25;19.22;216.31;90.91;45.45;0;0;69.68;11.9;1.27;3.64;0;0;86.48;69675.39;11896.94;1272.73;3636.36;0;0;86481.42;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_angetrocknet;Fichte;300;100;60;500;Mittel;3.2;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;19.82;72.79;16.01;258.01;117.65;58.82;0;0;58.15;14.19;1.65;4.71;0;0;78.69;58146.88;14190.8;1647.06;4705.88;0;0;78690.62;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_angetrocknet;Tanne;300;100;60;500;Mittel;3.2;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;19.82;72.79;16.01;258.01;117.65;58.82;0;0;58.15;14.19;1.65;4.71;0;0;78.69;58146.88;14190.8;1647.06;4705.88;0;0;78690.62;2.24
1000;true;1;Vollbaumverfahren;Nadelholz_angetrocknet;Foehre_Laerche;300;100;60;500;Mittel;3.2;2;3;55;2;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;19.82;61.87;16.01;225.26;100;50;0;0;58.15;12.39;1.4;4;0;0;75.94;58146.88;12389.15;1400;4000;0;0;75936.02;2.24
1000;true;1;Sortimentsverfahren;Laubholz_frisch;Laubholz;300;100;60;500;Mittel;2.4;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;26.42;61.87;21.35;176.59;25;50;0;0;77.36;9.71;0.35;4;0;0;91.43;77362.5;9712.61;350;4000;0;0;91425.11;2.24
1000;true;1;Sortimentsverfahren;Laubholz_angetrocknet;Laubholz;300;100;60;500;Mittel;2.6667;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;23.78;61.87;19.22;171.31;25;50;0;0;69.68;9.42;0.35;4;0;0;83.45;69675.39;9421.94;350;4000;0;0;83447.33;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_angetrocknet;Fichte;300;100;60;500;Mittel;3.2;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;19.82;61.87;16.01;163.38;25;50;0;0;58.15;8.99;0.35;4;0;0;71.48;58146.88;8986.02;350;4000;0;0;71482.9;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;100;100;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;21.56;61.87;17.42;166.87;25;50;0;0;63.22;9.18;0.35;4;0;0;76.75;63217.44;9177.75;350;4000;0;0;76745.19;2.17
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;500;60;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;32.91;61.87;26.6;189.58;25;50;0;0;96.25;10.43;0.35;4;0;0;111.03;96250.94;10426.83;350;4000;0;0;111027.77;3.32
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;100;500;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;108.11;9.25;0.35;4;0;0;121.71;108109.11;9247.63;350;4000;0;0;121706.75;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;800;Mittel;2.8571;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;22.19;61.87;17.93;168.14;25;50;0;0;65.37;9.25;0.35;4;0;0;78.96;65365.47;9247.63;350;4000;0;0;78963.1;2.24
1000;true;1;Sortimentsverfahren;Nadelholz_frisch;Fichte;300;100;60;500;Leicht;1;2;2;55;1;14;1;80;540;60;0;0;0;0;TRUE;0;SFr.;1;56.89;61.87;45.97;237.53;25;50;0;0;166;13.06;0.35;4;0;0;183.41;165995;13064.03;350;4000;0;0;183409.03;2.01
