#Arbeitsobjekt;;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil Industrieholz;Anteil Schichtholz;Stuecklaengen;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;0;0;5.9;1060.57;119.98;0;0;1180.56;12.84
Tanne;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;19.28;19.28;8.57;0;0;5.3;0.6;0;0;5.9;1060.57;119.98;0;0;1180.56;12.84
Foehre_Laerche;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;19.71;19.71;8.76;0;0;5.42;0.61;0;0;6.03;1083.98;122.63;0;0;1206.62;12.56
Laubholz;0.3;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;16.54;16.54;8.42;0;0;4.55;0.59;0;0;5.14;909.62;117.87;0;0;1027.5;14.97
Fichte;0.5;200;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;16.21;16.21;7.2;0;0;4.46;0.5;0;0;4.96;891.48;100.85;0;0;992.34;15.27
Fichte;0.3;300;100;0;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;28.92;28.92;12.86;0;0;5.3;0.6;0;0;5.9;1590.86;179.98;0;0;1770.83;12.84
Fichte;0.3;200;40;60;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;7.71;7.71;3.43;0;0;5.3;0.6;0;0;5.9;424.23;47.99;0;0;472.22;12.84
Fichte;0.3;200;10;50;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;2.09;2.09;0.93;0;0;5.75;0.65;0;0;6.4;115.02;13.01;0;0;128.03;11.83
Fichte;0.3;200;50;10;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;10.46;10.46;4.65;0;0;5.75;0.65;0;0;6.4;575.1;65.06;0;0;640.16;11.83
Fichte;0.3;200;60;40;Ueber7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;11.57;11.57;5.14;0;0;5.3;0.6;0;0;5.9;636.34;71.99;0;0;708.33;12.84
Fichte;0.3;200;100;0;Bis7m;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;25.04;25.04;11.13;0;0;6.89;0.78;0;0;7.67;1377.37;155.82;0;0;1533.19;9.88
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_31bis50;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;23.33;23.33;10.37;0;0;6.42;0.73;0;0;7.14;1283.29;145.18;0;0;1428.47;10.61
Fichte;0.3;200;100;0;Ueber7m;Hangneigung_51bis70;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;23.33;23.33;10.37;0;0;6.42;0.73;0;0;7.14;1283.29;145.18;0;0;1428.47;10.61
