#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;Ergebnis: Kosten pro m3 oR;;;;;;;Ergebnis: Kosten total;;;;;;;Produktivität
#Holzmenge [SRm];Rindenabzug manuell;Rindenabzug manuell;Erschwernisse;Länge pro Aufstellung;Anzahl Stützen;Anzahl Aufstellungen;Hangneigung;Anteil Laubholz;Ergebnisanzeige;Equipe (Anzahl Arbeiter);Anteil Einsatzzeit Verzugsfahrzeug;Personal Kosten (pro Person);KSG Kosten;Motorsäge Kosten;Verzugsfahrzeug inkl. Fahrer;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;m3oRproPSH15
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
500;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;45.71;160;29.55;18.47;0;0;0;28.76;13.28;0.58;0;0;0;42.63;12799.63;5910.36;258.58;0;0;0;18968.57;12.05
100;true;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;true;0.92;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;27.83;12.85;0.56;0;0;0;41.24;2559.93;1182.07;51.72;0;0;0;3793.71;12.45
100;false;0.89;Vorhanden;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;10.28;35.98;6.65;4.15;0;0;0;32.34;14.93;0.65;0;0;0;47.92;2878.16;1329.02;58.14;0;0;0;4265.32;10.71
100;false;0.89;Keine;300;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;false;0.89;Keine;100;2;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;false;0.89;Keine;100;3;1;0;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;false;0.89;Keine;100;3;2;25;20;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;10.12;35.44;6.55;4.09;0;0;0;31.85;14.71;0.64;0;0;0;47.2;2834.81;1309;57.27;0;0;0;4201.08;10.88
100;false;0.89;Keine;100;3;2;0;0;NurFaellenRuecken;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;8.71;30.47;5.63;3.52;0;0;0;27.39;12.65;0.55;0;0;0;40.59;2437.64;1125.61;49.25;0;0;0;3612.5;12.65
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;10.67;32;6.9;4.31;0;0;0;28.76;15.5;0.68;0;0;0;44.94;2559.93;1379.08;60.33;0;0;0;3999.34;10.33
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;4;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;8;32;5.17;3.23;0;0;0;28.76;11.62;0.51;0;0;0;40.89;2559.93;1034.31;45.25;0;0;0;3639.49;13.77
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;20;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;0;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;100;200;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;35.95;13.28;0.58;0;0;0;49.82;3199.91;1182.07;51.72;0;0;0;4433.69;12.05
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;100;14;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;6.64;0.58;0;0;0;35.99;2559.93;591.04;51.72;0;0;0;3202.68;12.05
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;20;170;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.83;0;0;0;42.88;2559.93;1182.07;73.88;0;0;0;3815.88;12.05
100;false;0.89;Keine;100;3;2;0;20;NurFaellenRuecken;3.5;50;80;200;14;200;540;60;0;0;0;0;0;Fr.;1;9.14;32;5.91;3.69;0;0;0;28.76;13.28;0.58;0;0;0;42.63;2559.93;1182.07;51.72;0;0;0;3793.71;12.05
