#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;Ergebnis: Kosten pro m3 oR;;;;;;;Ergebnis: Kosten total;;;;;;;Produktivität
#Holzmenge [SRm];Rindenabzug manuell;Rindenabzug manuell;Erschwernisse;Länge pro Aufstellung;Anzahl Stützen;Anzahl Aufstellungen;Hangneigung;Anteil Laubholz;Ergebnisanzeige;Equipe (Anzahl Arbeiter);Anteil Einsatzzeit Verzugsfahrzeug;Personal Kosten (pro Person);KSG Kosten;Motorsäge Kosten;Verzugsfahrzeug inkl. Fahrer;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;m3oRproWSH
100;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;5.64;0;0;113.56;6056.61;3495.88;51.72;502.38;0;0;10106.58;4.63
500;false;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;58.2;203.7;41.74;18.47;14.78;0;0;36.62;18.76;0.58;5.64;0;0;61.61;16296.31;8347.64;258.58;2511.9;0;0;27414.43;8.6
100;true;0.89;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;68.05;39.28;0.58;5.64;0;0;113.56;6056.61;3495.88;51.72;502.38;0;0;10106.58;4.63
100;true;0.92;Keine;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.63;75.71;17.48;3.69;2.96;0;0;65.83;38;0.56;5.46;0;0;109.85;6056.61;3495.88;51.72;502.38;0;0;10106.58;4.78
100;false;0.89;Vorhanden;100;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;30.53;106.84;18.83;4.15;3.32;0;0;96.03;42.32;0.65;6.35;0;0;145.35;8547.04;3766.3;58.14;564.83;0;0;12936.31;3.28
100;false;0.89;Keine;300;3;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;29.73;104.07;20.9;3.69;2.96;0;0;93.55;46.96;0.58;5.64;0;0;146.73;8325.69;4179.35;51.72;502.38;0;0;13059.13;3.37
100;false;0.89;Keine;100;2;2;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;15.07;52.75;12.18;3.69;2.96;0;0;47.42;27.37;0.58;5.64;0;0;81.01;4220.23;2435.92;51.72;502.38;0;0;7210.25;6.64
100;false;0.89;Keine;100;3;1;0;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;15.39;53.85;12;3.69;2.96;0;0;48.41;26.97;0.58;5.64;0;0;81.61;4308.27;2400.71;51.72;502.38;0;0;7263.07;6.51
100;false;0.89;Keine;100;3;2;25;20;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;27.29;95.51;18.73;4.09;3.27;0;0;85.85;42.09;0.64;6.25;0;0;134.84;7640.76;3746.28;57.27;556.33;0;0;12000.64;3.67
100;false;0.89;Keine;100;3;2;0;0;AlleArbeitsschritte;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;21.19;74.18;17.13;3.52;2.81;0;0;66.68;38.49;0.55;5.38;0;0;111.09;5934.32;3425.29;49.25;478.38;0;0;9887.25;4.72
