#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;;;Ergebnis: Kosten pro m3 oR;;;;;;;Ergebnis: Kosten total;;;;;;;Produktivität
#Holzmenge [SRm];Rindenabzug manuell;Rindenabzug manuell;Erschwernisse;Länge pro Aufstellung;Anzahl Stützen;Anzahl Aufstellungen;Hangneigung;Anteil Laubholz;Ergebnisanzeige;Equipe (Anzahl Arbeiter);Anteil Einsatzzeit Verzugsfahrzeug;Personal Kosten (pro Person);KSG Kosten;Motorsäge Kosten;Verzugsfahrzeug inkl. Fahrer;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;Personal (insgesamt);KSG;Motorsäge;Verzugsfahrzeug inkl. Fahrer;Umsetzen;Weitere Aufwände;Total;m3oRproPSH15
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
500;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;18.29;0;0;0;14.78;0;0;0;0;0;5.64;0;0;5.64;0;0;0;2511.9;0;0;2511.9;-1
100;true;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;true;0.92;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.46;0;0;5.46;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Vorhanden;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;4.11;0;0;0;3.32;0;0;0;0;0;6.35;0;0;6.35;0;0;0;564.83;0;0;564.83;-1
100;false;0.89;Keine;300;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;2;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;1;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;25;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;4.05;0;0;0;3.27;0;0;0;0;0;6.25;0;0;6.25;0;0;0;556.33;0;0;556.33;-1
100;false;0.89;Keine;100;3;2;0;0;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.48;0;0;0;2.81;0;0;0;0;0;5.38;0;0;5.38;0;0;0;478.38;0;0;478.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;4.27;0;0;0;3.45;0;0;0;0;0;6.59;0;0;6.59;0;0;0;586.11;0;0;586.11;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;4;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.2;0;0;0;2.59;0;0;0;0;0;4.94;0;0;4.94;0;0;0;439.58;0;0;439.58;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;20;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;1.46;0;0;0;1.18;0;0;0;0;0;2.26;0;0;2.26;0;0;0;200.95;0;0;200.95;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;0;80;200;14;170;540;60;0;0;0;0;0;Fr.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;100;200;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;100;14;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;20;170;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;200;540;60;0;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;6.64;0;0;6.64;0;0;0;591.04;0;0;591.04;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;600;60;0;0;0;0;0;Fr.;1;3.61;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;20;0;0;0;0;0;Fr.;1;3.38;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;1000;0;0;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;11.24;0;16.88;0;0;0;502.38;1000;0;1502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;15;0;0;0;Fr.;1;3.66;0;0;0;2.96;15;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;800;0;0;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;8.99;14.63;0;0;0;502.38;0;800;1302.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;8;0;Fr.;1;3.66;0;0;0;2.96;0;8;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;2;Fr.;1;3.66;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.76;0;0;0;502.38;0;0;512.43;-1
100;false;0.89;Keine;100;3;2;0;20;NurVerziehen;3.5;50;80;200;14;170;540;60;0;0;0;0;0;Fr.;0.8;2.93;0;0;0;2.96;0;0;0;0;0;5.64;0;0;5.64;0;0;0;502.38;0;0;502.38;-1
#Achtung wechselnde Einheit bei Produktivität, abhängig von Ergebnisanzeige!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
