#Arbeitsobjekt;;;;;;;;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Laubholzanteil;Anzahl Bäume;Hackgutart;Mittlerer BHD;Mittlerer Zopfdrm;Strasse;Feinerschliessung;Länge an der Holz liegt;Hindernisse;Hangneigung;Maschinist;Hacker;Typ;Volumen;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Hacker;Umsetzen;Weitere Aufwände;Personal;Hacker;Umsetzen;Weitere Aufwände;Total;Personal;Hacker;Umsetzen;Weitere Aufwände;Total;Produktivität
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;0;0;34.27;187.59;631.61;0;0;819.2;9.46
50;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;4.9;4.9;3.96;0;0;5.58;18.78;0;0;24.36;294.02;989.96;0;0;1283.97;13.31
0;1000;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;5.57;5.57;4.5;0;0;7.69;25.9;0;0;33.59;334.37;1125.81;0;0;1460.18;9.65
0;550;Vollbaeume;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;24.52;24.52;19.81;0;0;3.3;11.11;0;0;14.4;1471.13;4953.29;0;0;6424.42;22.51
0;550;Rundholzabschnitte;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;25.1;25.1;20.28;0;0;3.57;12.01;0;0;15.58;1505.98;5070.64;0;0;6576.63;20.81
0;550;Kronen;0.4;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;0.7;0.7;0.56;0;0;14.68;49.43;0;0;64.11;41.84;140.86;0;0;182.7;5.06
0;550;Kronen;0.3;0.15;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;6.71;6.71;5.42;0;0;6.31;21.24;0;0;27.54;402.51;1355.25;0;0;1757.75;11.77
0;550;Kronen;0.3;0.08;100;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.16;3.16;2.56;0;0;7.94;26.74;0;0;34.68;189.86;639.24;0;0;829.1;9.35
0;550;Kronen;0.3;0.08;50;200;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.58;3.58;2.89;0;0;8.98;30.23;0;0;39.21;214.62;722.62;0;0;937.24;8.27
0;550;Kronen;0.3;0.08;50;100;300;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.19;3.19;2.58;0;0;8.02;27;0;0;35.02;191.69;645.41;0;0;837.1;9.26
0;550;Kronen;0.3;0.08;50;100;200;Keine;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;2.98;2.98;2.41;0;0;7.48;25.18;0;0;32.66;178.78;601.96;0;0;780.75;9.93
0;550;Kronen;0.3;0.08;50;100;200;Viele;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.44;3.44;2.78;0;0;8.64;29.11;0;0;37.75;206.65;695.8;0;0;902.45;8.59
0;550;Kronen;0.3;0.08;50;100;200;SehrViele;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;4.09;4.09;3.31;0;0;10.28;34.6;0;0;44.87;245.64;827.08;0;0;1072.73;7.23
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_bis10;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.07;3.07;2.48;0;0;7.71;25.94;0;0;33.68;184.39;620.85;0;0;805.25;9.63
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_ueber20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.2;3.2;2.59;0;0;8.04;27.06;0;0;35.09;192.1;646.79;0;0;838.89;9.24
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;100;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.13;3.13;2.53;0;0;13.08;26.42;0;0;39.5;312.65;631.61;0;0;944.26;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;300;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1;3.13;3.13;2.53;0;0;7.85;31.71;0;0;39.55;187.59;757.94;0;0;945.53;9.46
0;550;Kronen;0.3;0.08;50;0;200;Wenige;NK_10bis20;60;250;AufLastwagen;15;540;60;0;0;0;0;0;SFr.;1;1.15;1.15;0.93;0;0;2.89;9.74;0;0;12.64;69.18;232.94;0;0;302.12;25.66
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;30;540;60;0;0;0;0;0;SFr.;1;2.86;2.86;2.31;0;0;7.19;24.21;0;0;31.4;171.88;578.71;0;0;750.59;10.33
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;300;60;0;0;0;0;0;SFr.;1;3.47;3.47;2.53;0;0;8.72;26.42;0;0;35.14;208.43;631.61;0;0;840.05;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;120;0;0;0;0;0;SFr.;1;3.57;3.57;2.53;0;0;8.97;26.42;0;0;35.39;214.39;631.61;0;0;846;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;1000;0;0;0;0;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;41.83;0;76.1;187.59;631.61;1000;0;1819.2;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;10;0;0;0;SFr.;1;3.13;3.13;2.53;10;0;7.85;26.42;0;0;34.27;187.59;631.61;0;0;819.2;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;500;0;0;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;0;20.92;55.18;187.59;631.61;0;500;1319.2;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;5;0;SFr.;1;3.13;3.13;2.53;0;5;7.85;26.42;0;0;34.27;187.59;631.61;0;0;819.2;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;10;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;0;0;37.69;187.59;631.61;0;0;901.12;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;0;0;0;SFr.;1.2;3.75;3.75;3.03;0;0;9.42;31.71;0;0;41.12;225.11;757.94;0;0;983.04;7.89
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;1000;0;0;0;10;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;41.83;0;83.71;187.59;631.61;1000;0;2001.12;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;1000;0;0;0;0;SFr.;1.2;3.75;3.75;3.03;0;0;9.42;31.71;41.83;0;82.95;225.11;757.94;1000;0;1983.04;7.89
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;1000;0;10;SFr.;1;3.13;3.13;2.53;0;0;7.85;26.42;0;41.83;83.71;187.59;631.61;0;1000;2001.12;9.46
0;550;Kronen;0.3;0.08;50;100;200;Wenige;NK_10bis20;60;250;AufForwarder;15;540;60;0;0;1000;0;0;SFr.;1.2;3.75;3.75;3.03;0;0;9.42;31.71;0;41.83;82.95;225.11;757.94;0;1000;1983.04;7.89
