#Arbeitsobjekt;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;Ergebnis: Kosten total;;;;Produktivität
#Mittleres Stückvolumen;Nutzungsmenge;Rindenabzug manuell;Rindenabzug manuell;Mittlere Fahrdistanz;Mittlere Distanz seitlicher Zuzug;Schwierigekeit seitlicher Zuzug;Personal Ansatz;Personal Anzahl;Seilkran Ansatz;Seilkran Laufzeit;Tägliche Arbeitszeit;Wegzeiten und Pausen;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Seilkran;Weitere Aufwände;Personal;Seilkran;Weitere Aufwände;Total;Personal;Seilkran;Weitere Aufwände;Total;Produktivität
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;54.81;164.43;41.64;0;22.61;12.49;0;35.1;9043.61;4996.9;0;14040.51;8.65
0.6;400;true;1;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;48.33;145;36.72;0;19.94;11.02;0;30.95;7975.2;4406.57;0;12381.77;9.8
0.4;650;true;1;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;89.07;267.2;67.67;0;22.61;12.49;0;35.1;14695.87;8119.96;0;22815.83;8.65
0.4;400;false;1;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;54.81;164.43;41.64;0;25.4;14.04;0;39.44;9043.61;4996.9;0;14040.51;7.69
0.4;400;true;0.9;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;54.81;164.43;41.64;0;25.12;13.88;0;39;9043.61;4996.9;0;14040.51;7.78
0.4;400;true;1;500;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;55.34;166.02;42.04;0;22.83;12.61;0;35.44;9131.28;5045.34;0;14176.62;8.56
0.4;400;true;1;300;30;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1;60.58;181.73;46.02;0;24.99;13.81;0;38.79;9995.26;5522.72;0;15517.97;7.82
0.4;400;true;1;300;15;Erschwert;55;3;120;90;540;60;0;0;0;SFr.;1;59.85;179.56;45.47;0;24.69;13.64;0;38.33;9875.65;5456.63;0;15332.28;7.92
0.4;400;true;1;300;15;Einfach;80;3;120;90;540;60;0;0;0;SFr.;1;54.81;164.43;41.64;0;32.89;12.49;0;45.38;13154.34;4996.9;0;18151.24;8.65
0.4;400;true;1;300;15;Einfach;55;2;120;90;540;60;0;0;0;SFr.;1;54.81;109.62;41.64;0;15.07;12.49;0;27.56;6029.07;4996.9;0;11025.97;8.65
0.4;400;true;1;300;15;Einfach;55;3;150;90;540;60;0;0;0;SFr.;1;54.81;164.43;41.64;0;22.61;15.62;0;38.22;9043.61;6246.13;0;15289.74;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;60;540;60;0;0;0;SFr.;1;54.81;164.43;27.76;0;22.61;8.33;0;30.94;9043.61;3331.27;0;12374.88;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;400;60;0;0;0;SFr.;1;57.32;171.95;41.64;0;23.64;12.49;0;36.14;9457.37;4996.9;0;14454.27;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;30;0;0;0;SFr.;1;51.59;154.76;41.64;0;21.28;12.49;0;33.77;8511.63;4996.9;0;13508.53;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;1000;0;0;SFr.;1;54.81;164.43;41.64;0;22.61;12.49;2.5;37.6;9043.61;4996.9;1000;15040.51;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;0;8;0;SFr.;1;54.81;164.43;41.64;8;22.61;12.49;0;35.1;9043.61;4996.9;0;14040.51;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;0;0;10;SFr.;1;54.81;164.43;41.64;0;22.61;12.49;0;38.61;9043.61;4996.9;0;15444.56;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;0;0;0;SFr.;1.2;65.77;197.32;49.97;0;27.13;14.99;0;42.12;10852.33;5996.28;0;16848.61;7.2
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;1000;0;10;SFr.;1;54.81;164.43;41.64;0;22.61;12.49;2.5;41.36;9043.61;4996.9;1000;16544.56;8.65
0.4;400;true;1;300;15;Einfach;55;3;120;90;540;60;1000;0;0;SFr.;1.2;65.77;197.32;49.97;0;27.13;14.99;2.5;44.62;10852.33;5996.28;1000;17848.61;7.2
