#Arbeitsobjekt;;;;;;;;;;;;;;;Arbeitssystem;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;;Ergebnis: Kosten total;;;;;
#Holzmenge;Massenmittelstamm;Anteil Fällen mit Handseilzug;Anteil Entrinden von Hand;Baumartengruppe;Kronenlängenklasse;Hangneigung;Hindernisse;Anteil Industrieholz;Anteil Schichtholz;Anteil Spalten;Stammholz-Stücklängen;Kanten brechen;Industrieholz-Stücklängen;Schichtholz-Stücklängen;Personal;Motorsäge;Schäleisen;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Schäleisen;Umsetzen;Weitere Aufwände;Total
400;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;386.46;190.68;0;0;0;53.14;6.67;0;0;0;59.81;21255.24;2669.48;0;0;0;23924.71
600;0.3;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;579.69;286.02;0;0;0;53.14;6.67;0;0;0;59.81;31882.86;4004.22;0;0;0;35887.07
400;0.5;0;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;309.96;151.95;0;0;0;42.62;5.32;0;0;0;47.94;17047.79;2127.32;0;0;0;19175.11
400;0.3;20;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;471.16;223.53;0;0;0;64.78;7.82;0;0;0;72.61;25913.74;3129.42;0;0;0;29043.16
400;0.3;80;0;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;580.06;265.77;0;0;0;79.76;9.3;0;0;0;89.06;31903.24;3720.78;0;0;0;35624.02
400;0.3;0;20;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;465.46;190.68;58.1;0;0;64;6.67;0.07;0;0;70.75;25600.52;2669.48;29.05;0;0;28299.05
400;0.3;0;80;Fichte;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;702.48;190.68;232.39;0;0;96.59;6.67;0.29;0;0;103.56;38636.39;2669.48;116.19;0;0;41422.06
400;0.3;0;80;Foehre_Laerche;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;699.94;110.83;325.37;0;0;96.24;3.88;0.41;0;0;100.53;38496.49;1551.62;162.68;0;0;40210.79
400;0.3;0;0;Tanne;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;407.46;206.12;0;0;0;56.03;7.21;0;0;0;63.24;22410.21;2885.67;0;0;0;25295.88
400;0.3;0;0;Foehre_Laerche;Klasse_0bis33;Hangneigung_0bis30;Keine;0;0;0;Von6Bis10m;FALSE;Ueber7m;Laenge2m;55;14;0.5;540;60;0;0;0;0;0;SFr.;1;257.47;110.83;0;0;0;35.4;3.88;0;0;0;39.28;14160.96;1551.62;0;0;0;15712.58
