#Arbeitsobjekt;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität;
#Baumartengruppe;Holzmenge;Volumenmittelstamm;Maschinist;Harvester;Mkategorie;Mtyp;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Personal;Radharvester;Umsetzen;Weitere Aufwände;Personal;Radharvester;Umsetzen;Weitere Aufwände;Total;Personal;Radharvester;Umsetzen;Weitere Aufwände;Total;Produktivität;
Fichte;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;530.37;428.58;0.00;0.00;3.18;15.86;0.00;0.00;19.04;31822.36;158576.06;0.00;0.00;190398.42;23.33;
Foehre_Laerche;10000;1.2;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;508.37;410.80;0.00;0.00;3.05;15.20;0.00;0.00;18.25;30502.02;151996.59;0.00;0.00;182498.61;24.34;
Fichte;5000;1.2;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;265.19;214.29;0.00;0.00;3.18;15.86;0.00;0.00;19.04;15911.18;79288.03;0.00;0.00;95199.21;23.33;
Fichte;10000;0.8;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;618.94;500.16;0.00;0.00;3.71;18.51;0.00;0.00;22.22;37136.69;185058.24;0.00;0.00;222194.93;19.99;
Fichte;10000;1.5;60;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;488.75;394.95;0.00;0.00;2.93;14.61;0.00;0.00;17.55;29324.85;146130.55;0.00;0.00;175455.40;25.32;
Fichte;10000;1.2;90;370;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;530.37;428.58;0.00;0.00;4.77;15.86;0.00;0.00;20.63;47733.54;158576.06;0.00;0.00;206309.60;23.33;
Fichte;10000;1.2;60;500;Gross;Standard_gross;540;60;0;0;0;0;0;SFr.;1;530.37;428.58;0.00;0.00;3.18;21.43;0.00;0.00;24.61;31822.36;214291.98;0.00;0.00;246114.34;23.33;
Fichte;10000;1.2;60;370;Gross;FMG;540;60;0;0;0;0;0;SFr.;1;602.72;487.04;0.00;0.00;3.62;18.02;0.00;0.00;21.64;36163.01;180206.25;0.00;0.00;216369.27;20.53;
Fichte;10000;1.2;60;370;Gross;Hemek;540;60;0;0;0;0;0;SFr.;1;587.77;474.97;0.00;0.00;3.53;17.57;0.00;0.00;21.10;35266.40;175738.30;0.00;0.00;211004.71;21.05;
Fichte;10000;1.2;60;370;Gross;Herma;540;60;0;0;0;0;0;SFr.;1;573.75;463.63;0.00;0.00;3.44;17.15;0.00;0.00;20.60;34424.80;171544.44;0.00;0.00;205969.24;21.57;
Fichte;10000;1.2;60;370;Gross;Ponsse;540;60;0;0;0;0;0;SFr.;1;528.95;427.43;0.00;0.00;3.17;15.82;0.00;0.00;18.99;31737.04;158150.90;0.00;0.00;189887.94;23.40;
Fichte;10000;1.2;60;370;Gross;Silvatec866;540;60;0;0;0;0;0;SFr.;1;610.30;493.17;0.00;0.00;3.66;18.25;0.00;0.00;21.91;36618.14;182474.25;0.00;0.00;219092.39;20.28;
Fichte;10000;1.2;60;370;Gross;Skogsjan;540;60;0;0;0;0;0;SFr.;1;546.97;442.00;0.00;0.00;3.28;16.35;0.00;0.00;19.64;32818.44;163539.72;0.00;0.00;196358.17;22.62;
Fichte;10000;1.2;60;370;Gross;Timberjack1270A;540;60;0;0;0;0;0;SFr.;1;594.14;480.12;0.00;0.00;3.56;17.76;0.00;0.00;21.33;35648.57;177642.73;0.00;0.00;213291.30;20.83;
Fichte;10000;1.2;60;370;Gross;Timberjack1270B;540;60;0;0;0;0;0;SFr.;1;530.37;428.58;0.00;0.00;3.18;15.86;0.00;0.00;19.04;31822.36;158576.06;0.00;0.00;190398.42;23.33;
Fichte;10000;1.2;60;370;Gross;Valmet911;540;60;0;0;0;0;0;SFr.;1;596.08;481.68;0.00;0.00;3.58;17.82;0.00;0.00;21.40;35765.06;178223.19;0.00;0.00;213988.25;20.76;
Fichte;10000;0.45;60;370;Mittel;Standard_mittel;540;60;0;0;0;0;0;SFr.;1;961.81;777.22;0.00;0.00;5.77;28.76;0.00;0.00;34.53;57708.63;287571.63;0.00;0.00;345280.27;12.87;
Fichte;10000;0.45;60;370;Mittel;Oesa;540;60;0;0;0;0;0;SFr.;1;932.59;753.61;0.00;0.00;5.60;27.88;0.00;0.00;33.48;55955.25;278834.26;0.00;0.00;334789.51;13.27;
Fichte;10000;0.45;60;370;Mittel;Silvatec854;540;60;0;0;0;0;0;SFr.;1;973.32;786.53;0.00;0.00;5.84;29.10;0.00;0.00;34.94;58399.48;291014.25;0.00;0.00;349413.73;12.71;
Fichte;10000;0.45;60;370;Mittel;Timberjack870A;540;60;0;0;0;0;0;SFr.;1;1011.90;817.70;0.00;0.00;6.07;30.25;0.00;0.00;36.33;60714.03;302548.04;0.00;0.00;363262.07;12.23;
Fichte;10000;0.45;60;370;Mittel;Timberjack870B;540;60;0;0;0;0;0;SFr.;1;961.81;777.22;0.00;0.00;5.77;28.76;0.00;0.00;34.53;57708.63;287571.63;0.00;0.00;345280.27;12.87;
Fichte;10000;0.45;60;370;Mittel;Valmet9014;540;60;0;0;0;0;0;SFr.;1;965.97;780.58;0.00;0.00;5.80;28.88;0.00;0.00;34.68;57958.20;288815.26;0.00;0.00;346773.46;12.81;
Fichte;10000;0.45;60;370;Mittel;Valmet9016;540;60;0;0;0;0;0;SFr.;1;1110.95;897.74;0.00;0.00;6.67;33.22;0.00;0.00;39.88;66657.01;332162.89;0.00;0.00;398819.91;11.14;
Fichte;10000;0.45;60;370;Gross;Standard_gross;300;60;0;0;0;0;0;SFr.;1;870.22;632.89;0.00;0.00;5.22;23.42;0.00;0.00;28.64;52213.37;234169.07;0.00;0.00;286382.44;15.80;
