#Arbeitsobjekt;;;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Anteil Industrieholz;Anteil Schichtholz;Stuecklaengen;AnteilSpalten;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;53.28;53.28;23.68;0;0;14.65;1.66;0;0;16.31;2930.54;331.54;0;0;3262.07;4.65
Tanne;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;53.28;53.28;23.68;0;0;14.65;1.66;0;0;16.31;2930.54;331.54;0;0;3262.07;4.65
Foehre_Laerche;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;54.46;54.46;24.21;0;0;14.98;1.69;0;0;16.67;2995.44;338.88;0;0;3334.32;4.54
Laubholz;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;45.82;45.82;23.33;0;0;12.6;1.63;0;0;14.23;2520.13;326.58;0;0;2846.71;5.4
Fichte;0.5;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;44.83;44.83;19.93;0;0;12.33;1.39;0;0;13.72;2465.92;278.97;0;0;2744.9;5.52
Fichte;0.3;300;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;79.92;79.92;35.52;0;0;14.65;1.66;0;0;16.31;4395.81;497.3;0;0;4893.11;4.65
Fichte;0.3;200;60;40;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;21.31;21.31;9.47;0;0;14.65;1.66;0;0;16.31;1172.21;132.61;0;0;1304.83;4.65
Fichte;0.3;200;50;10;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;5.78;5.78;2.57;0;0;15.89;1.8;0;0;17.69;317.82;35.96;0;0;353.77;4.28
Fichte;0.3;200;10;50;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;28.89;28.89;12.84;0;0;15.89;1.8;0;0;17.69;1589.09;179.78;0;0;1768.87;4.28
Fichte;0.3;200;40;60;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;31.97;31.97;14.21;0;0;14.65;1.66;0;0;16.31;1758.32;198.92;0;0;1957.24;4.65
Fichte;0.3;200;0;100;Laenge1m;0;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;83.25;83.25;37;0;0;22.89;2.59;0;0;25.48;4578.96;518.02;0;0;5096.99;2.97
Fichte;0.3;200;0;100;Laenge2m;30;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;94.84;94.84;42.15;0;0;26.08;2.95;0;0;29.03;5216.06;590.1;0;0;5806.15;2.61
Fichte;0.3;200;0;100;Laenge2m;50;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;122.54;122.54;54.46;0;0;33.7;3.81;0;0;37.51;6739.73;762.48;0;0;7502.21;2.02
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_31bis50;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;64.47;64.47;28.65;0;0;17.73;2.01;0;0;19.74;3545.95;401.16;0;0;3947.11;3.84
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_51bis70;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;64.47;64.47;28.65;0;0;17.73;2.01;0;0;19.74;3545.95;401.16;0;0;3947.11;3.84
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_71bis100;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;64.47;64.47;28.65;0;0;17.73;2.01;0;0;19.74;3545.95;401.16;0;0;3947.11;3.84
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Gering;55;14;540;60;0;0;0;0;0;SFr.;1;55.95;55.95;24.87;0;0;15.39;1.74;0;0;17.13;3077.06;348.11;0;0;3425.18;4.42
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Maessig;55;14;540;60;0;0;0;0;0;SFr.;1;58.61;58.61;26.05;0;0;16.12;1.82;0;0;17.94;3223.59;364.69;0;0;3588.28;4.22
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Stark;55;14;540;60;0;0;0;0;0;SFr.;1;63.94;63.94;28.42;0;0;17.58;1.99;0;0;19.57;3516.64;397.84;0;0;3914.49;3.87
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;80;14;540;60;0;0;0;0;0;SFr.;1;53.28;53.28;23.68;0;0;21.31;1.66;0;0;22.97;4262.6;331.54;0;0;4594.14;4.65
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;18;540;60;0;0;0;0;0;SFr.;1;53.28;53.28;23.68;0;0;14.65;2.13;0;0;16.78;2930.54;426.26;0;0;3356.8;4.65
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;300;60;0;0;0;0;0;SFr.;1;59.2;59.2;23.68;0;0;16.28;1.66;0;0;17.94;3256.15;331.54;0;0;3587.69;4.65
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;30;0;0;0;0;0;SFr.;1;50.15;50.15;23.68;0;0;13.79;1.66;0;0;15.45;2758.15;331.54;0;0;3089.69;4.65
Fichte;0.3;200;0;100;Laenge2m;0;Hangneigung_0bis30;Keine;55;14;540;60;200;0;0;0;0;SFr.;1;53.28;53.28;23.68;0;0;14.65;1.66;1;0;17.31;2930.54;331.54;200;0;3462.07;4.65
