#Arbeitsobjekt;;;;;;;;;Arbeitssystem;;;;;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Mittlerer Stückinhalt;Holzmenge;Schlagordnung;Anzahl Sortimente;Fahrentfernung mittel;Zuzugentfernung mittel;Rückeart;Rücken im Saft;Rückebedingungen;Maschinist;Rückegehilfe j/n;Rückegehilfe Ansatz;Einsatzanteil;Schlepper;Schleppertyp;Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weiter Aufwände CHF;Weiter Aufwände STd;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Schäleisen;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;23.59;23.59;19.06;0;0;7.08;8.58;0;0;15.65;1415.31;1715.52;0;0;3130.83;10.49
1;200;MehrAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;26.21;26.21;21.18;0;0;7.86;9.53;0;0;17.39;1572.56;1906.14;0;0;3478.7;9.44
1;200;MehrAlsEinViertelNichtEingehalten;VierBisSechs;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;27.75;27.75;22.43;0;0;8.33;10.09;0;0;18.42;1665.07;2018.26;0;0;3683.33;8.92
1;200;MehrAlsEinViertelNichtEingehalten;MehrAlsSechs;Bis200m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;29.49;29.49;23.83;0;0;8.85;10.72;0;0;19.57;1769.13;2144.4;0;0;3913.54;8.39
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Ab200bis400m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;26.21;26.21;21.18;0;0;7.86;9.53;0;0;17.39;1572.56;1906.14;0;0;3478.7;9.44
1;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Ueber400m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;29.49;29.49;23.83;0;0;8.85;10.72;0;0;19.57;1769.13;2144.4;0;0;3913.54;8.39
1;50;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Ueber400m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;7.37;7.37;5.96;0;0;8.85;10.72;0;0;19.57;442.28;536.1;0;0;978.38;8.39
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Ueber400m;Ab30bis40m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;46.98;46.98;37.97;0;0;14.1;17.09;0;0;31.18;2819.04;3417.02;0;0;6236.06;5.27
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Bis20m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;32.89;32.89;26.58;0;0;9.87;11.96;0;0;21.83;1973.33;2391.91;0;0;4365.24;7.53
0.5;200;WenigerAlsEinViertelNichtEingehalten;WenigerAlsVier;Bis200m;Ab20bis30m;GesamtesRuecken;Nein;Mittel;60;FALSE;50;Unbekannt;90;Forstspezialschlepper;540;60;0;0;0;0;0;SFr.;1;36.54;36.54;29.53;0;0;10.96;13.29;0;0;24.25;2192.59;2657.68;0;0;4850.27;6.77
