#Arbeitsobjekt;;;;;;;Arbeitssystem;;;;;;;;Faktoren;;;Ergebnis: Zeitaufwand;;;;;Ergebnis: Kosten pro m3;;;;;Ergebnis: Kosten total;;;;;Produktivität
#Baumartengruppe;Massenmittelstamm;Holzmenge;Stuecklaengen;Kanten brechen;Hangneigung;Hindernisse;Personal;Motorsäge;Tägliche Arbeitszeit;Wegzeiten und Pausen;Umsetzen CHF;Umsetzen Std;Weitere Aufwände CHF;Weitere Aufwände Std.;Risiko/Verwaltung/Gewinn;Währungskürzel;Korrekturfaktor;Dauer der Arbeit;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Personal;Motorsäge;Umsetzen;Weitere Aufwände;Total;Produktivität
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;0;11.65;1123.71;41.61;0;0;1165.32;6.06
Tanne;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;0;11.65;1123.71;41.61;0;0;1165.32;6.06
Foehre_Laerche;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;20.87;20.87;3.04;0;0;11.48;0.42;0;0;11.9;1147.86;42.5;0;0;1190.36;5.93
Laubholz;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;10.42;10.42;2.86;0;0;5.73;0.4;0;0;6.13;573;40.07;0;0;613.07;11.88
Fichte;0.5;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;17.02;17.02;2.48;0;0;9.36;0.35;0;0;9.71;936.11;34.66;0;0;970.77;7.27
Fichte;0.3;200;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;40.86;40.86;5.94;0;0;11.24;0.42;0;0;11.65;2247.42;83.21;0;0;2330.63;6.06
Fichte;0.3;100;WenigerAls4m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;24.72;24.72;3.59;0;0;13.59;0.5;0;0;14.1;1359.33;50.33;0;0;1409.66;5.01
Fichte;0.3;100;Von4Bis6m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;24.72;24.72;3.59;0;0;13.59;0.5;0;0;14.1;1359.33;50.33;0;0;1409.66;5.01
Fichte;0.3;100;Von6Bis10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;20.43;20.43;2.97;0;0;11.24;0.42;0;0;11.65;1123.71;41.61;0;0;1165.32;6.06
Fichte;0.3;100;MehrAls10m;FALSE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;16.48;16.48;2.4;0;0;9.06;0.34;0;0;9.4;906.22;33.55;0;0;939.77;7.51
Fichte;0.3;100;WenigerAls4m;TRUE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;33.37;33.37;4.85;0;0;18.35;0.68;0;0;19.03;1835.09;67.94;0;0;1903.04;3.71
Fichte;0.3;100;Von4Bis6m;TRUE;Hangneigung_0bis30;Keine;55;14;540;60;0;0;0;0;0;SFr.;1;33.37;33.37;4.85;0;0;18.35;0.68;0;0;19.03;1835.09;67.94;0;0;1903.04;3.71
