#Arbeitsobjekt;;;;;Arbeitssystem;;;;;;;;;Faktoren;;;Ergebnis;;;;;;;;;;
#Holzmenge [m3 iR];Bhd [cm];Bonitaet [Kategorie];Hangneigung [Kategorie];Abzopfen Der Krone [Kategorie];Maschinentyp [Kategorie];Produktivtaetssteigerung Rueckeraupe [Faktor];Kosten Personal [pro h];Kosten Vorrueckegeraet [pro h];Kosten Motorsaege [pro h];Taegliche Arbeitszeit [min];Wegzeiten Und Pausen [min];Kosten Umsetzen [Betrag];Kosten Weitere Aufwaende [Betrag];Korrekturfaktor [Faktor];Risiko Verwaltung Gewinn [%];Mehrwertsteuer [%];Zeit Personal [WPPH];Zeit Vorrueckegeraet [PMH15];Zeit Motorsaege [PMH15];Kosten Personal [pro m3 oR];Kosten Vorrueckegeraet [pro m3 oR];Kosten Motorsaege [pro m3 oR];Kosten Umsetzen [pro m3 oR];Kosten Weitere Aufwaende [pro m3 oR];Kosten Total [pro m3 oR];Kosten Total [total];Produktivitaet [m3 iRproPMH15]
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44.56;18;8.27;35.04;12.14;1.67;0;0;48.85;4347.79;5.55
100;25;3;1;1;2;1.1;70;60;18;540;60;0;0;1;0;0;44.56;18;8.27;35.04;12.14;1.67;0;0;48.85;4347.79;5.55
2000;25;3;1;1;2;1.1;70;60;18;540;60;0;0;1;0;0;891.1;360.04;165.34;35.04;12.14;1.67;0;0;48.85;86955.86;5.55
100;30;3;1;1;2;1.1;70;60;18;540;60;0;0;1;0;0;33.12;13.38;6.24;26.05;9.02;1.26;0;0;36.33;3233.61;7.47
100;25;5;1;1;2;1.1;70;60;18;540;60;0;0;1;0;0;32.81;13.26;6.09;25.81;8.94;1.23;0;0;35.97;3201.62;7.54
100;25;3;6;1;2;1.1;70;60;18;540;60;0;0;1;0;0;79.31;32.04;14.71;62.38;21.6;2.98;0;0;86.96;7739.07;3.12
100;25;3;1;2;2;1.1;70;60;18;540;60;0;0;1;0;0;42.61;17.22;6.7;33.52;11.61;1.35;0;0;46.48;4136.68;5.81
100;25;3;1;1;1;1.1;70;60;18;540;60;0;0;1;0;0;49.01;19.8;9.09;38.55;13.35;1.84;0;0;53.74;4782.57;5.05
100;25;3;1;1;2;1.3;70;60;18;540;60;0;0;1;0;0;37.7;15.23;7;29.65;10.27;1.41;0;0;41.34;3678.9;6.56
100;25;3;1;1;2;1.1;100;60;18;540;60;0;0;1;0;0;44.56;18;8.27;50.06;12.14;1.67;0;0;63.87;5684.45;5.55
100;25;3;1;1;2;1.1;70;100;18;540;60;0;0;1;0;0;44.56;18;8.27;35.04;20.23;1.67;0;0;56.94;5067.88;5.55
100;25;3;1;1;2;1.1;70;60;25;540;60;0;0;1;0;0;44.56;18;8.27;35.04;12.14;2.32;0;0;49.5;4405.66;5.55
100;25;3;1;1;2;1.1;70;60;18;480;60;0;0;1;0;0;45.26;18;8.27;35.6;12.14;1.67;0;0;49.41;4397.3;5.55
100;25;3;1;1;2;1.1;70;60;18;540;0;0;0;1;0;0;39.6;18;8.27;31.15;12.14;1.67;0;0;44.96;4001.25;5.55
100;25;3;1;1;2;1.1;70;60;18;540;60;250;0;1;0;0;44.56;18;8.27;35.04;12.14;1.67;2.81;0;51.66;4597.79;5.55
100;25;3;1;1;2;1.1;70;60;18;540;60;0;400;1;0;0;44.56;18;8.27;35.04;12.14;1.67;0;4.49;53.35;4747.79;5.55
100;25;3;1;1;2;1.1;70;60;18;540;60;0;0;0.95;0;0;42.33;17.1;7.85;33.29;11.53;1.59;0;0;46.41;4130.4;5.85
100;25;3;1;1;2;1.1;70;60;18;540;60;0;0;1;10;0;44.56;18;8.27;35.04;12.14;1.67;0;0;53.74;4782.57;5.55
100;25;3;1;1;2;1.1;70;60;18;540;60;0;0;1;0;16;44.56;18;8.27;35.04;12.14;1.67;0;0;56.67;5043.44;5.55
