#Arbeitsobjekt;;;;;;;;;Arbeitssystem;;;;;;;Faktoren;;;Ergebnis;;;;;;;;
#Energieholzmenge [m3 iR];Mittlerer Bhd [cm];Rueckeentfernung [Kategorie];Hangneigung [Kategorie];Anzahl Sortimente [Kategorie];Erschwernisse [Kategorie];Abstand Rueckegassen [Kategorie];Zopfdurchmesser Rundholz [cm];Energieholzanfall [m3 iR pro Ha];Forwardertyp [Kategorie];Kosten Maschinist [pro h];Kosten Forwarder [pro h];Taegliche Arbeitszeit [min];Wegzeiten Und Pausen [min];Kosten Umsetzen [Betrag];Kosten Weitere Aufwaende [Betrag];Korrekturfaktor [Faktor];Risiko Verwaltung Gewinn [%];Mehrwertsteuer [%];Zeit Maschinist [WPPH];Zeit Forwarder [PMH15];Kosten Maschinist [pro m3 iR];Kosten Forwarder [pro m3 iR];Kosten Umsetzen [pro m3 iR];Kosten Weitere Aufwände [pro m3 iR];Kosten Total [pro m3 iR];Kosten Total [total];Produktivitaet [m3 iRproPMH15]
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.33;11.58;10.03;12.74;0;0;22.77;2276.98;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1;0;0;14.33;11.58;10.03;12.74;0;0;22.77;2276.98;8.64
500;30;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1;0;0;71.65;57.9;10.03;12.74;0;0;22.77;11384.89;8.64
100;25;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1;0;0;17.1;13.82;11.97;15.2;0;0;27.17;2717.06;7.24
100;30;6;1;1;1;2;10;70;1;70;110;540;60;0;0;1;0;0;18.15;14.67;12.71;16.14;0;0;28.84;2884.17;6.82
100;30;1;3;1;1;2;10;70;1;70;110;540;60;0;0;1;0;0;15.13;12.22;10.59;13.45;0;0;24.03;2403.48;8.18
100;30;1;1;3;1;2;10;70;1;70;110;540;60;0;0;1;0;0;15.13;12.22;10.59;13.45;0;0;24.03;2403.48;8.18
100;30;1;1;1;3;2;10;70;1;70;110;540;60;0;0;1;0;0;16.02;12.94;11.21;14.24;0;0;25.45;2544.86;7.73
100;30;1;1;1;1;1;10;70;1;70;110;540;60;0;0;1;0;0;15.14;12.23;10.6;13.45;0;0;24.05;2405.02;8.18
100;30;1;1;1;1;2;20;70;1;70;110;540;60;0;0;1;0;0;11.19;9.04;7.83;9.95;0;0;17.78;1778.13;11.06
100;30;1;1;1;1;2;10;100;1;70;110;540;60;0;0;1;0;0;13.44;10.86;9.41;11.95;0;0;21.36;2136.1;9.2
100;30;1;1;1;1;2;10;70;2;70;110;540;60;0;0;1;0;0;14.08;11.37;9.85;12.51;0;0;22.37;2236.55;8.79
100;30;1;1;1;1;2;10;70;1;100;110;540;60;0;0;1;0;0;14.33;11.58;14.33;12.74;0;0;27.07;2706.9;8.64
100;30;1;1;1;1;2;10;70;1;70;200;540;60;0;0;1;0;0;14.33;11.58;10.03;23.16;0;0;33.19;3319.21;8.64
100;30;1;1;1;1;2;10;70;1;70;110;400;60;0;0;1;0;0;14.99;11.58;10.49;12.74;0;0;23.23;2322.87;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;120;0;0;1;0;0;16.38;11.58;11.46;12.74;0;0;24.2;2420.28;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;60;50;0;1;0;0;14.33;11.58;10.03;12.74;0.5;0;23.27;2326.98;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;60;0;500;1;0;0;14.33;11.58;10.03;12.74;0;5;27.77;2776.98;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1.05;0;0;15.05;12.16;10.53;13.38;0;0;23.91;2390.83;8.22
100;30;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1;50;0;14.33;11.58;10.03;12.74;0;0;34.15;3415.47;8.64
100;30;1;1;1;1;2;10;70;1;70;110;540;60;0;0;1;0;5;14.33;11.58;10.03;12.74;0;0;23.91;2390.83;8.64
