#Arbeitsobjekt;;;;;;;;;;;Arbeitssystem;;;;;;;;;;Faktoren;;;Ergebnis;;;;;;;;;;
#Holzmenge [m3 iR];Mittlerer Stueckinhalt [m3 iR];Linienlaenge [m];Mittlere Fahrdistanz [m];Mittlere Distanz Seitlicher Zuzug [m];Schwierigkeit Seitlicher Zuzug [Kategorie];Seilsystem [Kategorie];Maschinenstandort [Kategorie];Anzahl Stuetzen [Anzahl];Endmast Vorhanden [Kategorie];Tragseilhoehe Endmast [m];Kosten Personal [pro h];Kosten Mobilseilkran [pro h];Kosten Kranfahrzeug [pro h];Kranfahrzeug Laufzeit [%];Anzahl Personen Installation [Anzahl];Anzahl Personen Seilen [Anzahl];Taegliche Arbeitszeit [min];Wegzeiten Und Pausen [min];Kosten Umsetzen [Betrag];Kosten Weitere Aufwaende [Betrag];Korrekturfaktor [Faktor];Risiko Verwaltung Gewinn [%];Mehrwertsteuer [%];Zeit Personal [WPPH];Zeit Mobilseilkran [PMH15];Zeit Kranfahrzeug [PMH15];Kosten Personal [pro m3 oR];Kosten Mobilseilkran [pro m3 oR];Kosten Kranfahrzeug [pro m3 oR];Kosten Umsetzen [pro m3 oR];Kosten Weitere Aufwaende [pro m3 oR];Kosten Total [pro m3 oR];Kosten Total [total];Produktivitaet Beim Seilen [m3 iRproPMH15]
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;226.51;43.32;34.7;44.54;17.04;7.8;0;0;69.37;24696.43;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;226.51;43.32;34.7;44.54;17.04;7.8;0;0;69.37;24696.43;9.61
800;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;393.38;84.96;69.4;38.68;16.71;7.8;0;0;63.18;44983.5;9.61
400;1.5;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;158.13;26.26;20.48;31.09;10.33;4.6;0;0;46.02;16383.28;16.28
400;0.4;900;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;240.67;43.59;34.7;47.32;17.14;7.8;0;0;72.26;25725.12;9.61
400;0.4;600;200;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;225.42;43.05;34.48;44.32;16.93;7.75;0;0;69;24564.75;9.67
400;0.4;600;300;5;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;214.8;40.4;32.27;42.24;15.89;7.25;0;0;65.37;23273.25;10.33
400;0.4;600;300;15;2;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;241.86;47.15;37.89;47.56;18.54;8.52;0;0;74.61;26562.9;8.8
400;0.4;600;300;15;1;2;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;250.67;44.27;34.7;49.29;17.41;7.8;0;0;74.5;26521.42;9.61
400;0.4;600;300;15;1;2;1;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;252.4;44.34;34.7;49.63;17.44;7.8;0;0;74.87;26652.28;9.61
400;0.4;600;300;15;1;1;2;2;1;8;70;140;80;75;3;2;540;60;0;0;1;0;0;235.88;43.69;34.7;46.38;17.18;7.8;0;0;71.36;25404.46;9.61
400;0.4;600;300;15;1;1;2;1;2;8;70;140;80;75;3;2;540;60;0;0;1;0;0;221.69;43.13;34.7;43.59;16.96;7.8;0;0;68.35;24332.93;9.61
400;0.4;600;300;15;1;1;2;1;1;11;70;140;80;75;3;2;540;60;0;0;1;0;0;228.32;43.39;34.7;44.9;17.06;7.8;0;0;69.76;24833.62;9.61
400;0.4;600;300;15;1;1;2;1;1;8;50;140;80;75;3;2;540;60;0;0;1;0;0;226.51;43.32;34.7;31.81;17.04;7.8;0;0;56.65;20166.28;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;60;80;75;3;2;540;60;0;0;1;0;0;226.51;43.32;34.7;44.54;7.3;7.8;0;0;59.64;21230.8;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;70;75;3;2;540;60;0;0;1;0;0;226.51;43.32;34.7;44.54;17.04;6.82;0;0;68.4;24349.43;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;20;3;2;540;60;0;0;1;0;0;226.51;43.32;9.25;44.54;17.04;2.08;0;0;63.65;22660.66;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;4;2;540;60;0;0;1;0;0;226.51;42.9;34.7;44.54;16.87;7.8;0;0;69.21;24637.65;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;3;540;60;0;0;1;0;0;281.32;43.32;34.7;55.32;17.04;7.8;0;0;80.15;28533.12;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;550;60;0;0;1;0;0;225.99;43.32;34.7;44.44;17.04;7.8;0;0;69.27;24660.48;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;50;0;0;1;0;0;221.88;43.32;34.7;43.63;17.04;7.8;0;0;68.46;24372.85;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;1111;0;1;0;0;226.51;43.32;34.7;44.54;17.04;7.8;3.12;0;72.49;25807.43;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;2222;1;0;0;226.51;43.32;34.7;44.54;17.04;7.8;0;6.24;75.61;26918.43;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;0.15;0;0;33.98;6.5;5.21;6.68;2.56;1.17;0;0;10.41;3704.46;64.04
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;50;0;226.51;43.32;34.7;44.54;17.04;7.8;0;0;104.06;37044.65;9.61
400;0.4;600;300;15;1;1;2;1;1;8;70;140;80;75;3;2;540;60;0;0;1;0;50;226.51;43.32;34.7;44.54;17.04;7.8;0;0;104.06;37044.65;9.61
