#Arbeitsobjekt;;;;;;;;;Arbeitssystem;;;;;;;;;Faktoren;;;Ergebnis;;;;;;;;
#Holzmenge [m3];Mittlerer Stueckinhalt [FmProStk];Schlagordnung [Kategorie];Anzahl Sortimente [Kategorie];Fahrentfernung [Kategorie];Zuzugentfernung [Kategorie];Rueckeart [Kategorie];Ruecken Im Saft [Kategorie];Rueckebedingungen [Kategorie];Kosten Maschinist [pro h];Kosten Rueckegehilfe [pro h];Rueckgehilfe Einsatzanteil [%];Kosten Schlepper [pro h];Schleppertyp [Kategorie];Taegliche Arbeitszeit [min];Wegzeiten Und Pausen [min];Kosten Umsetzen [Betrag];Kosten Weitere Aufwaende [Betrag];Korrekturfaktor [Faktor];Risiko Verwaltung Gewinn [%];Mehrwertsteuer [%];Zeit Maschinist [WPPH];Zeit Schlepper [PMH15];Kosten Maschinist [pro m3];Kosten Schlepper [pro m3];Kosten Umsetzen [pro m3];Kosten Weitere Aufwaende [pro m3];Kosten Total [pro m3];Kosten Total [total];Produktivitaet [m3proPSH15]
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.21;21.18;7.86;9.53;0;0;17.39;3478.7;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;26.21;21.18;7.86;9.53;0;0;17.39;3478.7;9.44
800;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;104.84;84.72;7.86;9.53;0;0;17.39;13914.81;9.44
200;2;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;20.81;16.82;6.24;7.57;0;0;13.81;2762.17;11.89
200;1;2;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;29.49;23.83;8.85;10.72;0;0;19.57;3913.54;8.39
200;1;1;2;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;27.75;22.43;8.33;10.09;0;0;18.42;3683.33;8.92
200;1;1;1;3;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;33.7;27.23;10.11;12.25;0;0;22.36;4472.62;7.34
200;1;1;1;1;1;3;2;3;60;50;0;90;2;540;60;0;0;1;0;0;23.59;19.06;7.08;8.58;0;0;15.65;3130.83;10.49
200;1;1;1;1;3;1;2;3;60;50;0;90;2;540;60;0;0;1;0;0;14.74;11.91;4.42;5.36;0;0;9.78;1956.77;16.79
200;1;1;1;1;3;3;1;3;60;50;0;90;2;540;60;0;0;1;0;0;29.49;23.83;8.85;10.72;0;0;19.57;3913.54;8.39
200;1;1;1;1;3;3;2;1;60;50;0;90;2;540;60;0;0;1;0;0;23.59;19.06;7.08;8.58;0;0;15.65;3130.83;10.49
200;1;1;1;1;3;3;2;3;70;50;0;90;2;540;60;0;0;1;0;0;26.21;21.18;9.17;9.53;0;0;18.7;3740.8;9.44
200;1;1;1;1;3;3;2;3;60;60;0;90;2;540;60;0;0;1;0;0;26.21;21.18;7.86;9.53;0;0;17.39;3478.7;9.44
200;1;1;1;1;3;3;2;3;60;50;80;90;2;540;60;0;0;1;0;0;44.93;18.15;12.36;8.17;0;0;20.53;4105;11.02
200;1;1;1;1;3;3;2;3;60;50;0;80;2;540;60;0;0;1;0;0;26.21;21.18;7.86;8.47;0;0;16.33;3266.91;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;1;540;60;0;0;1;0;0;23.59;19.06;7.08;8.58;0;0;15.65;3130.83;10.49
200;1;1;1;1;3;3;2;3;60;50;0;90;2;500;60;0;0;1;0;0;26.47;21.18;7.94;9.53;0;0;17.47;3494.59;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;30;0;0;1;0;0;24.67;21.18;7.4;9.53;0;0;16.93;3386.2;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;111;0;1;0;0;26.21;21.18;7.86;9.53;0.56;0;17.95;3589.7;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;222;1;0;0;26.21;21.18;7.86;9.53;0;1.11;18.5;3700.7;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;0.2;0;0;5.24;4.24;1.57;1.91;0;0;3.48;695.74;47.22
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;10;0;26.21;21.18;7.86;9.53;0;0;19.13;3826.57;9.44
200;1;1;1;1;3;3;2;3;60;50;0;90;2;540;60;0;0;1;0;80;26.21;21.18;7.86;9.53;0;0;31.31;6261.66;9.44
